"","state","vice","tevus"
"1","Arizona",205,2
"2","California",470,55
"3","Colorado",65,1
"4","Florida",247,12
"5","Georgia",110,13
"6","Illinois",528,11
"7","Indiana",79,8
"8","Kentucky",27,1
"9","Louisiana",67,4
"10","Massachusetts",14,32
"11","Missouri",209,8
"12","Nevada",116,2
"13","New Jersey",75,8
"14","New Mexico",67,1
"15","New York",275,7
"16","North Carolina",47,4
"17","Ohio",231,3
"18","Oregon",30,7
"19","Pennsylvania",294,4
"20","Tennessee",115,2
"21","Texas",639,17
"22","Virginia",15,2
"23","Washington",36,21
"24","Wisconsin",49,4
